"checkings","duration","credit_history","purpose","amount","savings","employment_duration","installment_rate","personal_status_sex","other_debtors","present_residence","property","age","other_installment_plans","housing","number_credits","job","people_liable","telephone","foreign_worker","credit_risk"
"4",24,"2","other",2255,"5","2","4","3","1","1","2",54,"3","2","1","3","2","1","2",0
"4",18,"4","car_used",1817,"1","3","4","2","1","2","4",28,"3","2","2_to_3","3","2","1","2",0
"4",12,"2","furniture_equipment",2141,"2","4","3","3","1","1","4",35,"3","2","1","3","2","1","2",0
"4",48,"1","travel",3609,"1","3","1","2","1","1","1",27,"2","2","1","3","2","1","2",0
"4",30,"2","furniture_equipment",2333,"3","5","4","3","1","2","3",30,"1","2","1","4","2","1","2",0
"4",28,"1","car_new",7824,"5","2","3","3","3","4","1",40,"1","1","2_to_3","3","1","2","2",0
"1",24,"2","car_used",7721,"5","2","1","2","1","2","2",30,"3","2","1","3","2","2","1",0
"1",21,"2","other",3763,"5","4","2","3","2","2","1",24,"3","2","1","2","2","1","1",0
"1",12,"2","furniture_equipment",1107,"1","3","2","3","1","2","1",20,"3","1","1","4","1","2","2",0
"2",15,"2","furniture_equipment",1444,"5","2","4","3","1","1","2",23,"3","2","1","3","2","1","2",0
"2",48,"1","other",12169,"5","1","4","3","2","4","4",36,"3","3","1","4","2","2","2",0
"3",4,"2","other",1494,"5","2","1","3","1","2","1",29,"3","2","1","2","1","1","1",0
"1",24,"1","car_used",2828,"3","3","4","3","1","4","1",22,"2","2","1","3","2","2","2",0
"1",24,"1","car_used",2483,"3","3","4","3","1","4","1",22,"2","2","1","3","2","2","2",0
"3",6,"4","other",1299,"1","3","1","3","1","1","1",74,"3","2","4_or_more","1","1","1","1",0
"2",9,"2","other",1549,"5","2","4","3","1","2","1",35,"3","2","1","1","2","1","2",0
"3",10,"2","other",3949,"1","2","1","3","3","1","2",37,"3","2","1","2","1","1","2",0
"4",10,"2","car_new",2901,"5","2","1","2","1","4","1",31,"3","1","1","3","2","1","2",0
"1",47,"2","other",10722,"1","2","1","2","1","1","1",35,"3","2","1","2","2","2","2",0
"1",18,"1","furniture_equipment",1940,"1","2","3","3","2","4","4",36,"1","3","1","4","2","2","2",0
"3",30,"4","furniture_equipment",3656,"5","5","4","3","1","4","2",49,"2","2","2_to_3","2","2","1","2",0
"4",24,"3","car_new",4679,"1","4","3","3","1","3","3",35,"3","2","2_to_3","2","2","2","2",0
"1",18,"2","car_used",2659,"4","3","4","3","1","2","3",28,"3","2","1","3","2","1","2",0
"4",24,"4","furniture_equipment",1516,"4","3","4","2","1","1","1",43,"3","2","2_to_3","2","2","1","2",0
"1",18,"2","other",4380,"2","3","3","3","1","4","3",35,"3","2","1","2","1","2","2",0
"4",14,"3","other",802,"1","3","4","3","1","2","3",27,"3","2","2_to_3","2","2","1","2",0
"2",48,"1","travel",3566,"2","4","4","3","1","2","3",30,"3","2","1","3","2","1","2",0
"4",24,"2","furniture_equipment",1278,"1","5","4","3","1","1","1",36,"3","2","1","4","2","2","2",0
"4",39,"2","car_new",8588,"2","5","4","3","1","2","3",45,"3","2","1","4","2","2","2",0
"1",30,"2","car_new",3857,"1","3","4","1","1","4","2",40,"3","2","1","4","2","2","2",0
"1",24,"2","furniture_equipment",1603,"1","5","4","2","1","4","3",55,"3","2","1","3","2","1","2",0
"4",4,"2","car_used",601,"1","2","1","2","1","3","1",23,"3","1","1","2","1","1","2",0
"4",15,"4","furniture_equipment",1316,"3","3","2","4","1","2","2",47,"3","2","2_to_3","2","2","1","2",0
"4",60,"2","other",10366,"1","5","2","3","1","4","2",42,"3","2","1","4","2","2","2",0
"4",18,"2","travel",1568,"2","3","3","2","1","4","2",24,"3","1","1","2","2","1","2",0
"4",24,"3","car_used",4151,"2","3","2","3","1","3","2",35,"3","2","2_to_3","3","2","1","2",0
"2",15,"2","electronics_appliances",2631,"2","3","3","2","1","2","1",25,"3","2","1","2","2","1","2",0
"4",21,"2","car_new",5248,"5","3","1","3","1","3","3",26,"3","2","1","3","2","1","2",0
"2",18,"3","other",2899,"5","5","4","3","1","4","3",43,"3","2","1","3","1","1","2",0
"1",15,"3","car_used",3643,"1","5","1","2","1","4","2",27,"3","2","2_to_3","2","2","1","2",0
"1",10,"2","furniture_equipment",2315,"1","5","3","3","1","4","1",52,"3","2","1","2","2","1","2",0
"4",11,"4","other",1393,"1","2","4","2","1","4","3",35,"3","2","2_to_3","4","2","1","2",0
"3",10,"2","car_used",1275,"1","2","4","2","1","2","2",23,"3","2","1","3","2","1","2",0
"4",12,"2","furniture_equipment",1493,"1","2","4","2","1","3","3",34,"3","2","1","3","1","1","2",0
"4",22,"2","furniture_equipment",2675,"3","5","3","3","1","4","3",40,"3","2","1","3","2","1","2",0
"2",9,"2","furniture_equipment",2118,"1","3","2","3","1","2","1",37,"3","2","1","2","1","1","2",0
"4",12,"4","car_used",1258,"1","2","2","2","1","4","2",22,"3","1","2_to_3","2","2","1","2",0
"4",15,"1","furniture_equipment",1569,"2","5","4","3","1","4","3",34,"1","2","1","2","1","1","2",0
"4",6,"2","car_new",1236,"3","3","2","3","1","4","2",50,"3","1","1","3","2","1","2",0
"4",36,"3","car_used",7678,"3","4","2","2","1","4","3",40,"3","2","2_to_3","3","2","2","2",0
"4",6,"2","electronics_appliances",660,"3","4","2","4","1","4","1",23,"3","1","1","2","2","1","2",0
"4",24,"2","car_used",2835,"3","5","3","3","1","4","2",53,"3","2","1","3","2","1","2",0
"2",21,"4","travel",3652,"1","4","2","3","1","3","2",27,"3","2","2_to_3","3","2","1","2",0
"3",9,"2","furniture_equipment",1126,"2","5","2","1","1","4","1",49,"3","2","1","3","2","1","2",0
"3",6,"3","furniture_equipment",683,"1","2","2","2","1","1","2",29,"1","2","1","3","2","1","2",0
"3",12,"2","car_used",2251,"1","3","1","2","1","2","3",46,"3","2","1","2","2","1","2",0
"1",21,"2","furniture_equipment",3357,"4","2","4","2","1","2","3",29,"1","2","1","3","2","1","2",0
"4",6,"2","other",672,"1","1","1","2","1","4","1",54,"3","2","1","1","2","2","2",0
"1",6,"4","furniture_equipment",338,"3","5","4","3","1","4","3",52,"3","2","2_to_3","3","2","1","2",0
"4",9,"2","furniture_equipment",2697,"1","3","1","3","1","2","1",32,"3","2","1","3","1","1","2",0
"4",9,"2","other",2507,"3","5","2","3","1","4","4",51,"3","3","1","2","2","1","2",0
"4",15,"3","furniture_equipment",1478,"1","3","4","4","1","3","1",33,"1","2","2_to_3","3","2","1","2",0
"4",12,"4","repairs",3565,"5","2","2","3","1","1","2",37,"3","2","2_to_3","2","1","1","2",0
"4",6,"4","furniture_equipment",1898,"5","3","1","3","1","2","1",34,"3","2","2_to_3","2","1","1","2",0
"2",6,"3","travel",1449,"2","5","1","1","1","2","3",31,"1","2","2_to_3","3","1","1","2",0
"4",9,"2","car_used",2301,"2","2","2","2","1","4","2",22,"3","1","1","3","2","1","2",0
"4",6,"3","travel",1743,"2","3","1","3","1","2","1",34,"3","2","2_to_3","2","2","1","2",0
"2",12,"2","car_used",983,"4","2","1","2","1","4","1",19,"3","1","1","2","2","1","2",0
"3",24,"2","car_used",3749,"1","2","2","2","1","4","3",26,"3","2","1","3","2","1","2",0
"4",24,"2","other",1469,"2","5","4","4","1","4","1",41,"3","1","1","2","2","1","2",0
"1",6,"2","car_used",1374,"1","3","1","3","1","2","1",36,"1","2","1","2","2","2","2",0
"4",6,"1","other",783,"5","3","1","3","3","2","1",26,"2","2","1","2","1","1","2",0
"1",21,"2","furniture_equipment",2606,"1","2","4","2","1","4","2",28,"3","1","1","4","2","2","2",0
"4",54,"0","car_new",9436,"5","3","2","3","1","2","2",39,"3","2","1","2","1","1","2",0
"4",48,"4","car_new",2751,"5","5","4","3","1","3","3",38,"3","2","2_to_3","3","1","2","2",0
"2",24,"2","other",1201,"1","2","4","3","1","1","2",26,"3","2","1","3","2","1","2",0
"4",15,"2","car_new",1300,"5","5","4","3","1","4","4",45,"1","3","1","3","1","1","2",0
"4",24,"1","travel",1559,"1","4","4","3","1","4","3",40,"1","2","1","3","2","2","2",0
"4",15,"4","furniture_equipment",1360,"1","3","4","3","1","2","2",31,"3","2","2_to_3","3","2","1","2",0
"4",6,"0","other",1204,"2","3","4","3","1","1","4",35,"1","1","1","3","2","1","1",0
"4",10,"2","other",1597,"3","3","3","3","1","2","4",40,"3","1","1","2","1","1","1",0
"4",12,"2","furniture_equipment",2073,"2","3","4","2","2","2","1",28,"3","2","1","3","2","1","2",0
"4",11,"2","travel",2142,"4","5","1","1","1","2","1",28,"3","2","1","3","2","2","2",0
"1",10,"4","car_used",2132,"5","2","2","2","2","3","1",27,"3","1","2_to_3","3","2","1","1",0
"4",10,"2","other",1546,"1","3","3","3","1","2","1",31,"3","2","1","2","1","1","1",0
"4",24,"4","other",1287,"4","5","4","2","1","4","1",37,"3","2","2_to_3","3","2","2","2",0
"4",10,"2","other",1418,"2","3","3","3","1","2","1",35,"3","1","1","2","2","1","1",0
"4",24,"4","repairs",1927,"5","3","3","2","1","2","3",33,"3","2","2_to_3","3","2","2","2",0
"4",18,"4","furniture_equipment",2404,"1","3","2","2","1","2","3",26,"3","2","2_to_3","3","2","1","2",0
"4",22,"2","other",1283,"5","4","4","2","1","4","2",25,"3","1","1","3","2","1","2",0
"4",24,"3","other",717,"5","5","4","4","1","4","3",54,"3","2","2_to_3","3","2","2","2",0
"1",24,"2","car_used",1747,"1","2","4","3","2","1","2",24,"3","2","1","2","2","1","1",0
"1",10,"4","other",1038,"1","4","4","3","2","3","2",49,"3","2","2_to_3","3","2","2","2",0
"4",12,"2","car_new",1413,"4","4","3","3","1","2","2",55,"3","2","1","3","2","1","1",0
"4",30,"4","furniture_equipment",3077,"5","5","3","3","1","2","3",40,"3","2","2_to_3","3","1","2","2",0
"1",24,"1","car_new",3632,"1","3","1","2","3","4","3",22,"1","1","1","3","2","1","1",0
"4",9,"2","other",3577,"2","3","1","3","3","2","1",26,"3","1","1","3","1","1","1",0
"4",12,"4","other",682,"2","4","4","2","1","3","3",51,"3","2","2_to_3","3","2","2","2",0
"4",10,"2","furniture_equipment",1924,"1","3","1","3","1","4","2",38,"3","2","1","3","2","2","1",0
"4",10,"2","repairs",727,"3","5","4","3","1","4","4",46,"3","3","1","3","2","2","2",0
"3",10,"4","other",781,"1","5","4","3","1","4","4",63,"3","3","2_to_3","3","2","2","2",0
"4",12,"4","repairs",701,"1","3","4","3","1","2","3",32,"3","2","2_to_3","3","2","1","2",0
"4",10,"4","car_used",2069,"5","3","2","4","1","1","3",26,"3","2","2_to_3","3","2","1","1",0
"4",24,"2","other",1525,"4","4","4","2","1","3","3",34,"3","2","1","3","1","2","2",0
"4",48,"4","travel",7629,"5","5","4","1","1","2","3",46,"1","2","2_to_3","4","1","1","2",0
"1",12,"4","other",3499,"1","3","3","2","2","2","1",29,"3","2","2_to_3","3","2","1","2",1
"4",6,"2","furniture_equipment",1346,"2","5","2","3","1","4","4",42,"1","3","1","3","1","2","2",0
"4",36,"4","car_new",10477,"5","5","2","3","1","4","4",42,"3","3","2_to_3","3","2","1","2",0
"1",24,"2","car_new",2924,"1","3","3","3","3","4","4",63,"1","2","1","3","1","2","2",0
"4",10,"4","other",1231,"1","5","3","3","1","4","1",32,"3","2","2_to_3","2","1","1","1",0
"4",12,"4","other",1255,"1","5","4","3","1","4","1",61,"3","2","2_to_3","2","2","1","2",0
"4",6,"4","car_used",1221,"5","3","1","4","1","2","2",27,"3","2","2_to_3","3","2","1","2",0
"4",9,"2","car_used",1388,"1","3","4","2","1","2","1",26,"3","1","1","3","2","1","2",0
"4",12,"2","furniture_equipment",2279,"5","3","4","3","1","4","4",37,"3","3","1","3","2","2","2",0
"4",12,"0","car_used",2759,"1","5","2","3","1","4","2",34,"3","2","2_to_3","3","2","1","2",0
"3",24,"2","furniture_equipment",1258,"3","3","3","2","1","3","3",57,"3","2","1","2","2","1","2",0
"2",12,"0","travel",1410,"1","3","2","3","1","2","1",31,"3","2","1","2","2","2","2",0
"1",24,"2","car_used",3021,"1","3","2","1","1","2","1",24,"3","1","1","2","2","1","2",0
"1",24,"2","travel",6568,"1","3","2","4","1","2","3",21,"2","2","1","2","2","1","2",0
"4",24,"4","furniture_equipment",2578,"4","5","2","3","1","2","3",34,"3","2","1","3","2","1","2",0
"4",21,"3","car_used",1591,"2","4","4","3","1","3","1",34,"3","2","2_to_3","4","2","1","2",0
"1",27,"2","furniture_equipment",3416,"1","3","3","3","1","2","3",27,"3","2","1","4","2","1","2",0
"1",12,"0","electronics_appliances",1108,"1","4","4","3","1","3","1",28,"3","2","2_to_3","3","2","1","2",1
"2",27,"3","car_new",5965,"1","5","1","3","1","2","3",30,"3","2","2_to_3","4","2","2","2",0
"2",15,"2","electronics_appliances",1514,"2","3","4","3","3","2","1",22,"3","2","1","3","2","1","2",0
"4",30,"4","furniture_equipment",6742,"5","4","2","3","1","3","2",36,"3","2","2_to_3","3","2","1","2",0
"1",18,"2","car_used",3650,"1","2","1","2","1","4","3",22,"3","1","1","3","2","1","2",0
"1",21,"2","car_used",3599,"1","4","1","2","1","4","3",26,"3","1","1","2","2","1","2",0
"4",60,"4","other",13756,"5","5","2","3","1","4","4",63,"1","3","1","4","2","2","2",0
"2",9,"2","other",276,"1","3","4","4","1","4","1",22,"3","1","1","2","2","1","2",0
"2",9,"2","car_used",918,"1","3","4","2","1","1","2",30,"3","2","1","3","2","1","2",1
"3",10,"2","electronics_appliances",1225,"1","3","2","3","1","2","3",37,"3","2","1","3","2","2","2",0
"1",24,"2","car_new",2812,"5","5","2","2","1","4","1",26,"3","1","1","3","2","1","2",0
"3",12,"4","other",1480,"3","1","2","3","1","4","4",66,"1","3","4_or_more","1","2","1","2",0
"3",6,"4","repairs",1047,"1","3","2","2","1","4","2",50,"3","2","1","2","2","1","2",0
