"checkings","credit_history","amount","duration","savings","property","purpose","other_installment_plans","employment_duration","foreign_worker","housing","personal_status_sex","other_debtors","credit_risk"
"4","4",3077,30,"5","3","furniture_equipment","3","5","2","2","3","1","0"
"1","1",3632,24,"1","3","car_new","1","3","1","1","2","3","0"
"4","2",3577,9,"2","1","other","3","3","1","1","3","3","0"
"4","4",682,12,"2","3","other","3","4","2","2","2","1","0"
"4","2",1924,10,"1","2","furniture_equipment","3","3","1","2","3","1","0"
"4","2",727,10,"3","4","repairs","3","5","2","3","3","1","0"
"3","4",781,10,"1","4","other","3","5","2","3","3","1","0"
"4","4",701,12,"1","3","repairs","3","3","2","2","3","1","0"
"4","4",2069,10,"5","3","car_used","3","3","1","2","4","1","0"
"4","2",1525,24,"4","3","other","3","4","2","2","2","1","0"
"4","4",7629,48,"5","3","travel","1","5","2","2","1","1","0"
"1","4",3499,12,"1","1","other","3","3","2","2","2","2","1"
"4","2",1346,6,"2","4","furniture_equipment","1","5","2","3","3","1","0"
"4","4",10477,36,"5","4","car_new","3","5","2","3","3","1","0"
"1","2",2924,24,"1","4","car_new","1","3","2","2","3","3","0"
"4","4",1231,10,"1","1","other","3","5","1","2","3","1","0"
"4","4",1221,6,"5","2","car_used","3","3","2","2","4","1","0"
"4","2",1388,9,"1","1","car_used","3","3","2","1","2","1","0"
"4","0",2759,12,"1","2","car_used","3","5","2","2","3","1","0"
"3","2",1258,24,"3","3","furniture_equipment","3","3","2","2","2","1","0"
"2","0",1410,12,"1","1","travel","3","3","2","2","3","1","0"
"1","2",3021,24,"1","1","car_used","3","3","2","1","1","1","0"
"1","2",6568,24,"1","3","travel","2","3","2","2","4","1","0"
"4","4",2578,24,"4","3","furniture_equipment","3","5","2","2","3","1","0"
"4","3",1591,21,"2","1","car_used","3","4","2","2","3","1","0"
"1","2",3416,27,"1","3","furniture_equipment","3","3","2","2","3","1","0"
"1","0",1108,12,"1","1","electronics_appliances","3","4","2","2","3","1","1"
"2","3",5965,27,"1","3","car_new","3","5","2","2","3","1","0"
"2","2",1514,15,"2","1","electronics_appliances","3","3","2","2","3","3","0"
"4","4",6742,30,"5","2","furniture_equipment","3","4","2","2","3","1","0"
"1","2",3599,21,"1","3","car_used","3","4","2","1","2","1","0"
"2","2",276,9,"1","1","other","3","3","2","1","4","1","0"
"3","2",1225,10,"1","3","electronics_appliances","3","3","2","2","3","1","0"
"1","2",2812,24,"5","1","car_new","3","5","2","1","2","1","0"
"3","4",1480,12,"3","4","other","1","1","2","3","3","1","0"
"3","4",1047,6,"1","2","repairs","3","3","2","2","2","1","0"
"4","2",5511,24,"2","3","car_used","2","3","2","2","3","1","0"
"2","2",1206,9,"1","1","furniture_equipment","3","5","2","2","2","1","0"
"4","3",1503,12,"1","1","car_new","3","3","2","1","4","1","0"
"2","2",2528,27,"1","2","travel","3","2","2","2","2","1","0"
"1","2",1352,6,"3","2","car_new","3","1","2","1","2","1","0"
"2","2",5381,48,"5","4","business","1","1","2","3","3","1","0"
"4","2",4657,15,"1","3","car_new","3","3","2","2","3","1","0"
"2","2",1391,9,"1","1","travel","1","3","2","2","4","1","0"
"2","2",1913,18,"4","1","travel","1","2","2","2","4","1","0"
"4","2",7166,42,"5","2","furniture_equipment","3","4","2","1","4","1","0"
"4","3",2978,24,"5","1","travel","3","3","2","2","3","1","0"
"4","4",976,12,"5","3","furniture_equipment","3","5","2","2","3","1","0"
"4","3",2375,24,"3","3","travel","3","3","2","2","3","1","0"
"4","4",522,12,"3","2","furniture_equipment","3","5","2","2","3","1","0"
"4","4",2743,28,"1","3","furniture_equipment","3","5","2","2","3","1","0"
"4","4",1154,11,"2","1","furniture_equipment","3","1","2","2","2","1","0"
"4","4",5804,24,"4","1","car_new","3","3","2","2","3","1","0"
"4","4",1169,18,"5","2","furniture_equipment","3","3","2","2","3","1","0"
"4","2",776,12,"1","1","furniture_equipment","3","3","2","2","4","1","0"
"2","4",1175,16,"1","3","other","3","1","2","3","3","1","0"
"4","4",717,12,"1","1","furniture_equipment","3","5","2","2","3","1","0"
"2","4",1501,9,"1","3","repairs","3","5","2","2","2","1","1"
"2","4",2326,15,"3","3","travel","1","3","2","2","3","1","0"
"2","4",1887,18,"5","1","travel","1","3","2","2","4","1","0"
"4","3",846,7,"5","4","furniture_equipment","3","5","2","3","3","1","0"
"4","4",1532,15,"2","3","repairs","3","3","2","2","2","1","0"
"4","3",935,6,"1","1","furniture_equipment","3","3","2","2","2","1","0"
"1","4",2442,27,"1","3","travel","2","5","2","2","3","1","0"
"2","4",3590,18,"1","3","travel","3","1","2","2","4","1","0"
"1","4",14179,39,"5","2","car_used","3","4","2","2","3","1","0"
"4","4",618,12,"1","1","furniture_equipment","3","5","2","2","3","1","0"
"4","2",1574,12,"1","1","car_used","3","3","2","2","3","1","0"
"4","2",886,12,"5","3","furniture_equipment","3","3","2","2","2","1","0"
"4","2",4686,36,"1","4","car_new","3","3","2","3","3","1","0"
"1","2",2212,20,"5","3","car_used","3","4","2","2","3","1","0"
"2","2",7308,10,"1","4","other","1","1","2","3","3","1","0"
"2","4",5743,24,"1","4","repairs","3","2","2","3","2","1","0"
"1","2",3973,14,"1","4","other","3","1","2","3","3","1","0"
"2","3",7418,60,"5","1","furniture_equipment","3","3","2","2","3","1","0"
"2","3",2629,20,"1","3","business","1","3","2","2","3","1","0"
"2","2",1941,18,"4","2","travel","3","3","2","2","3","1","0"
"2","3",2333,24,"5","2","car_used","1","2","2","2","3","1","0"
"4","2",2445,12,"5","3","car_new","3","2","2","1","4","1","0"
"2","2",6468,20,"5","1","car_new","3","1","2","2","1","1","0"
"2","4",7374,18,"1","2","car_used","2","1","2","2","3","1","0"
"1","2",4006,28,"1","3","other","3","3","2","2","3","1","1"
"2","2",7472,12,"5","1","other","3","1","2","1","2","1","0"
"2","2",2028,12,"5","3","car_new","3","3","2","2","3","1","0"
"4","2",5324,15,"3","4","other","3","5","2","3","2","1","0"
"4","2",1393,12,"1","2","repairs","1","5","2","2","3","1","0"
"4","2",1984,18,"1","4","car_used","1","3","2","3","3","1","0"
"4","2",999,24,"5","3","furniture_equipment","3","5","2","2","3","1","0"
"4","2",7409,36,"5","2","travel","3","5","2","2","3","1","0"
"4","2",2186,15,"5","1","car_used","1","4","2","1","2","1","0"
"3","2",4473,36,"1","3","furniture_equipment","3","5","2","2","3","1","0"
"4","2",937,24,"1","3","travel","3","2","2","2","4","1","0"
"4","2",3422,18,"1","2","car_used","1","5","2","2","3","1","0"
"4","2",3105,24,"5","3","furniture_equipment","3","2","2","2","3","1","0"
"4","4",2748,12,"1","4","repairs","1","5","2","3","2","1","0"
"2","2",3001,18,"1","1","car_used","3","4","2","1","2","1","0"
"4","3",3863,24,"1","4","travel","3","3","2","3","3","1","0"
"4","4",1592,12,"4","2","car_used","3","4","2","2","2","1","0"
"4","4",1185,12,"1","1","travel","3","3","2","2","2","1","0"
"4","4",3780,18,"1","3","car_used","3","2","2","2","1","1","0"
"2","4",3612,18,"1","2","car_used","3","5","1","2","2","1","0"
"4","2",2051,18,"1","1","furniture_equipment","3","2","2","2","3","1","0"
"4","4",3331,12,"1","2","car_used","2","5","2","2","3","1","0"
"1","0",3104,18,"1","2","travel","1","4","2","2","3","1","0"
"4","2",1311,24,"2","2","furniture_equipment","3","4","2","2","4","1","0"
"4","4",4042,24,"5","2","car_new","3","4","2","2","3","1","0"
"4","4",926,12,"1","2","other","3","1","2","2","2","1","0"
"4","4",2463,24,"2","2","other","3","4","2","2","4","1","0"
"4","4",2058,24,"1","1","electronics_appliances","3","3","2","2","1","1","0"
"4","4",1240,12,"5","1","furniture_equipment","3","5","2","2","2","1","0"
"4","4",6842,24,"5","2","car_new","3","3","2","2","3","1","0"
"4","2",1538,6,"1","4","repairs","3","2","2","2","2","1","0"
"2","4",3878,24,"2","3","other","3","2","2","2","1","1","0"
"2","2",3832,30,"1","2","car_used","3","2","2","2","4","1","0"
"4","2",3186,15,"4","3","other","3","4","2","1","2","1","0"
"2","2",2896,24,"2","3","furniture_equipment","3","2","2","2","3","1","0"
"4","2",1819,36,"1","4","repairs","2","3","2","3","3","1","1"
"4","2",5943,24,"5","3","furniture_equipment","3","2","2","2","2","1","1"
"4","4",7127,36,"1","2","car_used","3","2","2","1","2","1","1"
"4","2",518,6,"1","1","furniture_equipment","3","3","2","2","2","1","0"
"2","2",2930,12,"1","1","furniture_equipment","3","4","2","2","2","1","0"
"4","2",1505,18,"1","4","furniture_equipment","3","3","2","3","3","1","0"
"4","4",2238,18,"1","3","furniture_equipment","3","3","2","2","2","1","0"
"3","2",1881,12,"1","3","furniture_equipment","3","3","2","1","2","1","0"
"1","4",1880,18,"1","2","furniture_equipment","3","4","2","2","4","1","0"
"1","2",2389,18,"1","3","furniture_equipment","2","2","2","2","2","1","0"
"4","4",3380,4,"1","1","other","3","4","2","2","2","1","0"
"2","2",1670,9,"1","3","furniture_equipment","3","2","2","2","2","1","1"
"4","4",1544,4,"1","1","furniture_equipment","3","4","2","2","3","1","0"
"2","2",1715,30,"5","3","furniture_equipment","3","3","2","2","2","1","0"
"3","4",1347,10,"5","2","furniture_equipment","3","4","2","2","3","1","0"
"2","2",1007,12,"4","1","other","3","3","2","2","4","1","0"
"4","4",1402,12,"3","3","car_used","3","4","2","1","2","1","0"
"2","2",2002,12,"1","2","other","3","4","2","1","3","1","0"
"4","4",2096,12,"1","1","repairs","3","4","2","2","3","1","0"
"4","2",1101,12,"1","1","other","3","3","2","2","4","1","0"
"4","3",2764,33,"1","3","travel","3","3","2","2","2","1","0"
"2","0",8358,48,"3","3","other","3","2","2","2","2","1","0"
"4","2",5433,24,"5","2","car_new","3","1","2","1","2","1","0"
"2","2",1410,14,"3","1","travel","3","5","2","2","4","1","0"
"4","4",3485,20,"5","1","other","3","2","2","2","1","1","0"
"4","4",3850,18,"1","3","car_new","3","4","2","2","3","1","0"
"2","2",7408,60,"2","2","other","3","2","2","2","2","1","1"
"3","2",1377,24,"2","4","furniture_equipment","3","5","2","3","2","1","0"
"4","4",362,6,"2","3","other","3","3","2","2","2","1","0"
"3","2",1330,12,"1","1","other","3","2","2","2","3","1","0"
"2","2",7966,26,"1","3","car_new","3","2","2","2","3","1","0"
"2","1",3496,30,"4","3","car_used","2","3","2","2","3","1","0"
"2","2",6948,36,"1","3","car_new","3","3","2","1","3","1","0"
"1","2",3446,36,"1","3","car_used","3","5","2","2","3","1","1"
"1","2",7174,42,"5","3","furniture_equipment","3","4","2","2","2","1","1"
"1","1",1546,24,"1","3","furniture_equipment","1","4","2","1","3","3","1"
"1","2",741,12,"2","2","electronics_appliances","3","1","2","2","2","1","1"
"1","2",7865,12,"1","4","car_used","3","5","2","3","3","1","1"
"1","2",2910,24,"1","4","car_new","3","4","2","3","3","1","0"
"1","4",5302,18,"1","4","other","3","5","2","3","3","1","0"
"1","2",3620,36,"1","2","car_used","3","3","2","2","3","3","0"
"2","2",3017,12,"1","1","car_used","3","2","2","1","2","1","0"
"1","2",1657,12,"1","1","car_used","3","3","2","2","3","1","0"
"1","4",1164,8,"1","4","business","1","5","2","3","3","1","0"
"1","1",1193,24,"1","4","other","3","1","2","1","2","2","1"
"1","2",708,12,"1","2","car_used","3","3","2","2","3","3","0"
"1","4",571,21,"1","1","other","3","5","2","2","3","1","0"
"1","2",2522,30,"1","2","furniture_equipment","3","5","2","2","3","3","0"
"1","2",8229,36,"1","2","car_new","3","3","2","2","3","1","1"
"4","4",2028,24,"1","2","car_used","3","4","2","2","3","1","0"
"1","2",1374,6,"5","2","other","3","1","2","2","2","1","0"
"1","2",1289,12,"1","2","car_used","3","3","2","2","3","3","0"
"1","2",2712,36,"1","2","car_used","1","5","2","2","3","1","1"
"2","3",1050,6,"1","2","car_used","2","1","1","2","3","1","0"
"1","4",609,6,"1","2","other","3","4","2","2","2","1","0"
"2","2",836,12,"2","2","other","1","2","2","2","2","1","1"
"1","2",2577,12,"1","3","car_used","3","3","2","2","1","1","0"
"1","2",1620,12,"1","2","car_used","3","3","2","2","2","2","0"
"1","2",6579,24,"1","4","car_new","3","1","2","3","3","1","0"
"1","2",1893,12,"1","2","other","3","3","2","2","2","3","0"
"1","4",10623,30,"1","4","car_new","3","5","2","3","3","1","0"
"1","2",2249,18,"2","3","other","3","4","2","2","3","1","0"
"2","4",958,12,"1","1","other","3","4","2","2","3","1","0"
"4","2",9277,24,"5","4","car_new","3","3","2","3","1","1","0"
"4","4",6314,24,"1","4","business","1","1","2","2","3","2","0"
"1","2",3590,12,"1","2","car_used","3","3","2","2","3","2","0"
"1","4",6615,24,"1","4","car_new","3","1","2","3","3","1","0"
"4","4",1582,18,"4","3","furniture_equipment","3","5","2","2","3","1","0"
"1","2",2578,12,"1","4","car_used","3","1","2","3","2","1","0"
"1","2",7882,42,"1","2","car_used","3","4","2","3","3","3","0"
"1","2",4169,24,"1","2","car_used","3","3","2","2","3","1","0"
"1","2",3249,36,"1","4","other","1","4","2","3","3","1","0"
"1","4",2246,12,"1","2","car_used","3","5","2","2","3","1","1"
"1","4",1797,13,"1","2","travel","1","2","2","2","3","1","0"
"1","4",4272,20,"1","2","car_used","3","5","2","2","2","1","0"
"1","4",2348,36,"1","2","car_used","3","3","2","2","4","1","0"
"1","4",6419,24,"1","4","car_new","3","5","2","3","2","1","0"
"1","4",6143,48,"1","4","car_new","2","5","2","3","2","1","1"
"2","3",2503,30,"2","2","travel","2","5","2","2","3","1","0"
"2","2",2622,18,"2","3","travel","3","3","2","2","3","1","0"
"2","2",4351,24,"5","2","car_used","3","3","2","2","2","1","0"
"2","2",368,6,"5","2","furniture_equipment","3","5","2","2","3","1","0"
"4","4",2424,24,"5","2","furniture_equipment","3","5","2","2","3","1","0"
"2","3",6681,48,"5","4","travel","3","3","2","3","3","1","0"
"2","4",1216,24,"2","4","furniture_equipment","1","2","2","2","3","1","1"
"2","2",753,6,"1","1","furniture_equipment","3","3","2","2","2","3","0"
"2","2",2576,7,"1","1","furniture_equipment","3","3","1","2","3","3","0"
"2","2",590,6,"1","1","furniture_equipment","3","2","1","2","4","1","0"
